Region,Date,Year,Month,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Burien, WA",10/31/2016,2016,11,$323K,-9.3%,5.7%,49,-9.3%,-21.0%,40,-21.6%,8.1%,81,-28.3%,-19.0%,11,-6,-12,99.7%,0.1%,-0.3%
"Burien, WA",11/30/2016,2016,12,$350K,8.4%,6.1%,64,30.6%,36.2%,30,-25.0%,-9.1%,58,-28.4%,-28.4%,28,17,-15,100.1%,0.4%,0.6%
"Burien, WA",12/31/2016,2016,1,$366K,4.6%,13.0%,56,-12.5%,43.6%,42,40.0%,5.0%,52,-10.3%,-28.8%,30,2,12,98.7%,-1.4%,-2.1%
"Burien, WA",1/31/2017,2017,2,$367K,0.3%,10.5%,36,-35.7%,-14.3%,44,4.8%,-10.2%,42,-19.2%,-37.3%,29,-1,-11,99.9%,1.2%,0.6%
"Burien, WA",2/28/2017,2017,3,$352K,-4.3%,-8.7%,58,61.1%,23.4%,71,61.4%,0.0%,50,19.0%,-38.3%,11,-18,1,102.7%,2.8%,0.7%
"Burien, WA",3/31/2017,2017,4,$403K,14.5%,23.8%,58,0.0%,9.4%,81,14.1%,8.0%,61,22.0%,-33.7%,8,-3,-9,103.9%,1.2%,1.2%
"Burien, WA",4/30/2017,2017,5,$395K,-1.9%,6.8%,71,22.4%,10.9%,86,6.2%,10.3%,63,3.3%,-29.2%,7,-1,-3,105.6%,1.7%,2.6%
"Burien, WA",5/31/2017,2017,6,$422K,6.7%,10.0%,72,1.4%,-11.1%,86,0.0%,-12.2%,71,12.7%,-31.7%,8,1,0,105.1%,-0.5%,1.8%
"Burien, WA",6/30/2017,2017,7,$425K,0.8%,13.3%,73,1.4%,-1.4%,91,5.8%,-4.2%,84,18.3%,-24.3%,7,-1,-1,104.9%,-0.1%,2.1%
"Burien, WA",7/31/2017,2017,8,$399K,-6.0%,12.0%,84,15.1%,10.5%,74,-18.7%,-6.3%,75,-10.7%,-33.6%,9,2,-1,102.1%,-2.9%,0.4%
"Burien, WA",8/31/2017,2017,9,$392K,-1.9%,18.1%,74,-11.9%,8.8%,68,-8.1%,-6.8%,81,8.0%,-33.1%,11,2,-1,101.1%,-1.0%,0.1%
"Burien, WA",9/30/2017,2017,10,$404K,3.0%,13.3%,73,-1.4%,35.2%,56,-17.6%,9.8%,74,-8.6%,-34.5%,9,-2,-8,101.4%,0.3%,1.7%
"Burien, WA",10/31/2017,2017,11,$410K,1.6%,26.9%,52,-28.8%,6.1%,52,-7.1%,30.0%,55,-25.7%,-32.1%,9,0,-2,101.6%,0.3%,1.9%
"Burien, WA",11/30/2017,2017,12,$425K,3.5%,21.3%,56,7.7%,-12.5%,24,-53.8%,-20.0%,43,-21.8%,-25.9%,12,3,-16,101.3%,-0.3%,1.2%
"Burien, WA",12/31/2017,2017,1,$363K,-14.6%,-0.9%,36,-35.7%,-35.7%,47,95.8%,11.9%,44,2.3%,-15.4%,20,8,-10,100.6%,-0.8%,1.8%
"Burien, WA",1/31/2018,2018,2,$437K,20.5%,19.0%,39,8.3%,8.3%,48,2.1%,9.1%,44,0.0%,4.8%,9,-11,-20,102.5%,1.9%,2.6%
"Burien, WA",2/28/2018,2018,3,$468K,7.1%,33.1%,52,33.3%,-10.3%,71,47.9%,0.0%,46,4.5%,-8.0%,8,-1,-3,104.9%,2.4%,2.2%
"Burien, WA",3/31/2018,2018,4,$505K,7.9%,25.5%,64,23.1%,10.3%,79,11.3%,-2.5%,64,39.1%,4.9%,8,0,0,105.1%,0.3%,1.3%
"Burien, WA",4/30/2018,2018,5,$465K,-7.9%,17.7%,70,9.4%,-1.4%,99,25.3%,15.1%,76,18.8%,20.6%,9,1,2,104.4%,-0.7%,-1.1%
"Burien, WA",5/31/2018,2018,6,$476K,2.4%,12.9%,77,10.0%,6.9%,89,-10.1%,3.5%,96,26.3%,35.2%,7,-2,-1,102.5%,-1.9%,-2.6%
"Burien, WA",6/30/2018,2018,7,$479K,0.6%,12.6%,60,-22.1%,-17.8%,72,-19.1%,-20.9%,107,11.5%,27.4%,10,3,3,101.2%,-1.3%,-3.7%
"Burien, WA",7/31/2018,2018,8,$400K,-16.4%,0.1%,59,-1.7%,-29.8%,67,-6.9%,-9.5%,115,7.5%,53.3%,16,6,7,99.2%,-2.0%,-2.9%
"Burien, WA",8/31/2018,2018,9,$455K,13.8%,16.1%,45,-23.7%,-39.2%,64,-4.5%,-5.9%,119,3.5%,46.9%,18,2,7,99.0%,-0.2%,-2.2%
"Burien, WA",9/30/2018,2018,10,$392K,-14.0%,-3.0%,46,2.2%,-37.0%,53,-17.2%,-5.4%,113,-5.0%,52.7%,23,5,14,98.5%,-0.4%,-2.8%
"Burien, WA",10/31/2018,2018,11,$418K,6.8%,2.0%,49,6.5%,-5.8%,57,7.5%,9.6%,102,-9.7%,85.5%,31,8,22,99.1%,0.6%,-2.5%
"Burien, WA",11/30/2018,2018,12,$402K,-3.9%,-5.4%,61,24.5%,8.9%,19,-66.7%,-20.8%,75,-26.5%,74.4%,35,4,23,98.2%,-0.9%,-3.1%
"Burien, WA",12/31/2018,2018,1,$408K,1.5%,12.5%,32,-47.5%,-11.1%,30,57.9%,-36.2%,70,-6.7%,59.1%,63,28,43,96.5%,-1.7%,-4.0%
"Burien, WA",1/31/2019,2019,2,$433K,6.2%,-0.9%,24,-25.0%,-38.5%,34,13.3%,-29.2%,77,10.0%,75.0%,41,-22,32,96.7%,0.2%,-5.8%
"Burien, WA",2/28/2019,2019,3,$408K,-5.7%,-12.7%,30,25.0%,-42.3%,69,102.9%,-2.8%,86,11.7%,87.0%,21,-20,13,101.5%,4.8%,-3.4%
"Burien, WA",3/31/2019,2019,4,$443K,8.4%,-12.4%,58,93.3%,-9.4%,70,1.4%,-11.4%,73,-15.1%,14.1%,9,-12,1,102.4%,0.9%,-2.7%
"Burien, WA",4/30/2019,2019,5,$470K,6.2%,1.1%,83,43.1%,18.6%,103,47.1%,4.0%,92,26.0%,21.1%,8,-1,-1,99.9%,-2.5%,-4.5%
"Burien, WA",5/31/2019,2019,6,$452K,-3.9%,-5.1%,73,-12.0%,-5.2%,68,-34.0%,-23.6%,91,-1.1%,-5.2%,8,0,1,99.9%,-0.1%,-2.7%
"Burien, WA",6/30/2019,2019,7,$440K,-2.5%,-8.1%,66,-9.6%,10.0%,64,-5.9%,-11.1%,91,0.0%,-15.0%,11,3,1,101.5%,1.7%,0.3%
"Burien, WA",7/31/2019,2019,8,$455K,3.4%,13.8%,61,-7.6%,3.4%,70,9.4%,4.5%,98,7.7%,-14.8%,12,1,-4,99.9%,-1.6%,0.7%
"Burien, WA",8/31/2019,2019,9,$430K,-5.5%,-5.5%,51,-16.4%,13.3%,61,-12.9%,-4.7%,104,6.1%,-12.6%,18,6,0,99.6%,-0.3%,0.6%
"Burien, WA",9/30/2019,2019,10,$468K,8.7%,19.4%,56,9.8%,21.7%,33,-45.9%,-37.7%,80,-23.1%,-29.2%,23,5,0,99.5%,-0.1%,1.0%
"Burien, WA",10/31/2019,2019,11,$480K,2.7%,14.8%,41,-26.8%,-16.3%,30,-9.1%,-47.4%,66,-17.5%,-35.3%,30,7,-1,98.9%,-0.6%,-0.2%
"Burien, WA",11/30/2019,2019,12,$500K,4.2%,24.5%,37,-9.8%,-39.3%,11,-63.3%,-42.1%,43,-34.8%,-42.7%,37,7,2,99.4%,0.5%,1.2%
"Burien, WA",12/31/2019,2019,1,$466K,-6.8%,14.3%,29,-21.6%,-9.4%,37,236.4%,23.3%,34,-20.9%,-51.4%,44,7,-19,98.8%,-0.6%,2.3%
"Burien, WA",1/31/2020,2020,2,$440K,-5.6%,1.6%,36,24.1%,50.0%,37,0.0%,8.8%,37,8.8%,-51.9%,50,6,9,98.9%,0.0%,2.2%
"Burien, WA",2/29/2020,2020,3,$493K,12.1%,20.8%,35,-2.8%,16.7%,64,73.0%,-7.2%,48,29.7%,-44.2%,10,-40,-11,101.3%,2.5%,-0.1%
"Burien, WA",3/31/2020,2020,4,$473K,-4.2%,6.8%,38,8.6%,-34.5%,48,-25.0%,-31.4%,64,33.3%,-12.3%,6,-4,-3,101.7%,0.4%,-0.6%
"Burien, WA",4/30/2020,2020,5,$507K,7.3%,7.9%,37,-2.6%,-55.4%,63,31.3%,-38.8%,62,-3.1%,-32.6%,19,13,11,101.1%,-0.7%,1.1%
"Burien, WA",5/31/2020,2020,6,$500K,-1.4%,10.7%,57,54.1%,-21.9%,64,1.6%,-5.9%,70,12.9%,-23.1%,12,-7,4,100.1%,-1.0%,0.2%
"Burien, WA",6/30/2020,2020,7,$495K,-1.0%,12.5%,57,0.0%,-13.6%,80,25.0%,25.0%,83,18.6%,-8.8%,7,-5,-4,100.6%,0.6%,-0.9%
"Burien, WA",7/31/2020,2020,8,$520K,5.1%,14.4%,67,17.5%,9.8%,90,12.5%,28.6%,80,-3.6%,-18.4%,8,1,-4,101.6%,1.0%,1.7%
"Burien, WA",8/31/2020,2020,9,$517K,-0.8%,20.1%,69,3.0%,35.3%,70,-22.2%,14.8%,81,1.3%,-22.1%,7,-1,-11,101.3%,-0.4%,1.7%
"Burien, WA",9/30/2020,2020,10,$489K,-5.4%,4.5%,82,18.8%,46.4%,64,-8.6%,93.9%,64,-21.0%,-20.0%,11,4,-12,101.3%,0.0%,1.7%
"Burien, WA",10/31/2020,2020,11,$504K,3.1%,4.9%,59,-28.0%,43.9%,41,-35.9%,36.7%,52,-18.8%,-21.2%,8,-3,-22,100.8%,-0.5%,1.9%
"Burien, WA",11/30/2020,2020,12,$518K,2.9%,3.7%,53,-10.2%,43.2%,41,0.0%,272.7%,43,-17.3%,0.0%,19,11,-18,99.9%,-0.9%,0.5%
"Burien, WA",12/31/2020,2020,1,$491K,-5.2%,5.5%,46,-13.2%,58.6%,35,-14.6%,-5.4%,39,-9.3%,14.7%,20,1,-24,101.0%,1.1%,2.2%
"Burien, WA",1/31/2021,2021,2,$530K,7.8%,20.5%,36,-21.7%,0.0%,46,31.4%,24.3%,23,-41.0%,-37.8%,9,-11,-41,102.5%,1.4%,3.6%
"Des Moines, WA",1/31/2012,2012,2,$185K,15.6%,-8.6%,19,11.8%,90.0%,32,-3.0%,10.3%,131,-5.1%,-24.3%,116,32,38,96.6%,0.7%,-1.7%
"Des Moines, WA",2/29/2012,2012,3,$151K,-18.1%,-29.9%,24,26.3%,-14.3%,41,28.1%,-4.7%,124,-5.3%,-29.9%,60,-56,-26,97.0%,0.4%,0.5%
"Des Moines, WA",3/31/2012,2012,4,$168K,10.6%,-9.5%,31,29.2%,93.8%,33,-19.5%,-5.7%,113,-8.9%,-33.5%,96,36,24,96.6%,-0.5%,1.6%
"Des Moines, WA",4/30/2012,2012,5,$175K,4.5%,-9.8%,44,41.9%,29.4%,46,39.4%,2.2%,104,-8.0%,-39.5%,89,-7,-18,99.8%,3.2%,4.5%
"Des Moines, WA",5/31/2012,2012,6,$189K,8.1%,35.1%,37,-15.9%,48.0%,31,-32.6%,-40.4%,98,-5.8%,-44.6%,103,14,44,98.4%,-1.3%,0.2%
"Des Moines, WA",6/30/2012,2012,7,$163K,-13.9%,-5.3%,33,-10.8%,17.9%,48,54.8%,17.1%,111,13.3%,-37.6%,35,-68,-43,99.0%,0.6%,2.7%
"Des Moines, WA",7/31/2012,2012,8,$148K,-9.1%,-5.9%,36,9.1%,50.0%,42,-12.5%,7.7%,114,2.7%,-32.9%,32,-3,-48,98.3%,-0.7%,2.2%
"Des Moines, WA",8/31/2012,2012,9,$186K,25.7%,13.9%,18,-50.0%,-43.8%,34,-19.0%,-35.8%,110,-3.5%,-36.8%,31,-1,-36,96.8%,-1.5%,3.2%
"Des Moines, WA",9/30/2012,2012,10,$170K,-8.5%,-2.1%,36,100.0%,0.0%,31,-8.8%,3.3%,102,-7.3%,-37.4%,38,7,-26,100.1%,3.2%,3.5%
"Des Moines, WA",10/31/2012,2012,11,$173K,1.3%,3.0%,24,-33.3%,-4.0%,27,-12.9%,-27.0%,97,-4.9%,-37.0%,43,5,-34,97.8%,-2.3%,2.0%
"Des Moines, WA",11/30/2012,2012,12,$196K,13.3%,15.0%,34,41.7%,25.9%,22,-18.5%,4.8%,85,-12.4%,-38.4%,50,7,-24,97.8%,0.0%,0.6%
"Des Moines, WA",12/31/2012,2012,1,$186K,-4.9%,16.3%,23,-32.4%,35.3%,23,4.5%,-30.3%,74,-12.9%,-46.4%,55,5,-29,98.5%,0.7%,2.6%
"Des Moines, WA",1/31/2013,2013,2,$168K,-9.9%,-9.5%,16,-30.4%,-15.8%,41,78.3%,28.1%,83,12.2%,-36.6%,63,8,-53,97.1%,-1.3%,0.5%
"Des Moines, WA",2/28/2013,2013,3,$175K,4.5%,15.5%,27,68.8%,12.5%,50,22.0%,22.0%,76,-8.4%,-38.7%,21,-42,-39,98.8%,1.7%,1.8%
"Des Moines, WA",3/31/2013,2013,4,$215K,22.9%,28.4%,42,55.6%,35.5%,56,12.0%,69.7%,95,25.0%,-15.9%,25,4,-71,99.3%,0.4%,2.7%
"Des Moines, WA",4/30/2013,2013,5,$230K,7.0%,31.5%,45,7.1%,2.3%,70,25.0%,52.2%,116,22.1%,11.5%,21,-4,-68,100.3%,1.1%,0.6%
"Des Moines, WA",5/31/2013,2013,6,$221K,-4.0%,16.8%,46,2.2%,24.3%,51,-27.1%,64.5%,121,4.3%,23.5%,24,3,-79,101.9%,1.5%,3.4%
"Des Moines, WA",6/30/2013,2013,7,$226K,2.0%,38.4%,42,-8.7%,27.3%,53,3.9%,10.4%,131,8.3%,18.0%,15,-9,-20,100.7%,-1.2%,1.7%
"Des Moines, WA",7/31/2013,2013,8,$243K,7.8%,64.0%,33,-21.4%,-8.3%,43,-18.9%,2.4%,124,-5.3%,8.8%,18,3,-14,99.4%,-1.3%,1.1%
"Des Moines, WA",8/31/2013,2013,9,$231K,-4.9%,24.0%,36,9.1%,100.0%,51,18.6%,50.0%,138,11.3%,25.5%,39,21,8,98.7%,-0.7%,1.9%
"Des Moines, WA",9/30/2013,2013,10,$191K,-17.5%,11.8%,44,22.2%,22.2%,27,-47.1%,-12.9%,123,-10.9%,20.6%,42,3,4,100.3%,1.6%,0.3%
"Des Moines, WA",10/31/2013,2013,11,$208K,9.3%,20.7%,24,-45.5%,0.0%,19,-29.6%,-29.6%,102,-17.1%,5.2%,40,-2,-3,99.6%,-0.8%,1.8%
"Des Moines, WA",11/30/2013,2013,12,$230K,10.4%,17.6%,36,50.0%,5.9%,18,-5.3%,-18.2%,94,-7.8%,10.6%,69,29,19,98.5%,-1.1%,0.7%
"Des Moines, WA",12/31/2013,2013,1,$193K,-16.3%,3.5%,20,-44.4%,-13.0%,31,72.2%,34.8%,92,-2.1%,24.3%,45,-24,-10,101.0%,2.5%,2.5%
"Des Moines, WA",1/31/2014,2014,2,$227K,18.1%,35.7%,16,-20.0%,0.0%,46,48.4%,12.2%,94,2.2%,13.3%,12,-33,-51,99.5%,-1.5%,2.4%
"Des Moines, WA",2/28/2014,2014,3,$254K,11.8%,45.1%,47,193.8%,74.1%,48,4.3%,-4.0%,96,2.1%,26.3%,46,34,25,98.2%,-1.3%,-0.6%
"Des Moines, WA",3/31/2014,2014,4,$254K,0.2%,18.3%,36,-23.4%,-14.3%,58,20.8%,3.6%,92,-4.2%,-3.2%,30,-16,5,98.3%,0.0%,-1.0%
"Des Moines, WA",4/30/2014,2014,5,$231K,-9.2%,0.4%,44,22.2%,-2.2%,71,22.4%,1.4%,98,6.5%,-15.5%,15,-15,-6,99.4%,1.1%,-1.0%
"Des Moines, WA",5/31/2014,2014,6,$257K,11.3%,16.3%,53,20.5%,15.2%,51,-28.2%,0.0%,101,3.1%,-16.5%,25,10,1,98.0%,-1.4%,-3.9%
"Des Moines, WA",6/30/2014,2014,7,$267K,3.9%,18.4%,45,-15.1%,7.1%,45,-11.8%,-15.1%,103,2.0%,-21.4%,27,2,12,100.2%,2.2%,-0.5%
"Des Moines, WA",7/31/2014,2014,8,$252K,-5.6%,3.7%,49,8.9%,48.5%,52,15.6%,20.9%,116,12.6%,-6.5%,42,15,24,99.4%,-0.8%,0.0%
"Des Moines, WA",8/31/2014,2014,9,$267K,5.9%,15.5%,32,-34.7%,-11.1%,55,5.8%,7.8%,131,12.9%,-5.1%,14,-28,-25,98.8%,-0.6%,0.1%
"Des Moines, WA",9/30/2014,2014,10,$248K,-7.3%,29.9%,32,0.0%,-27.3%,44,-20.0%,63.0%,134,2.3%,8.9%,28,14,-14,99.9%,1.1%,-0.5%
"Des Moines, WA",10/31/2014,2014,11,$242K,-2.2%,16.2%,36,12.5%,50.0%,26,-40.9%,36.8%,113,-15.7%,10.8%,26,-2,-14,96.8%,-3.1%,-2.8%
"Des Moines, WA",11/30/2014,2014,12,$258K,6.6%,12.2%,35,-2.8%,-2.8%,25,-3.8%,38.9%,107,-5.3%,13.8%,39,13,-30,98.8%,2.1%,0.3%
"Des Moines, WA",12/31/2014,2014,1,$260K,0.8%,35.1%,25,-28.6%,25.0%,28,12.0%,-9.7%,102,-4.7%,10.9%,51,12,6,99.1%,0.3%,-1.9%
"Des Moines, WA",1/31/2015,2015,2,$205K,-21.2%,-9.8%,21,-16.0%,31.3%,32,14.3%,-30.4%,80,-21.6%,-14.9%,113,62,101,98.6%,-0.5%,-1.0%
"Des Moines, WA",2/28/2015,2015,3,$281K,36.8%,10.4%,43,104.8%,-8.5%,41,28.1%,-14.6%,83,3.8%,-13.5%,79,-34,33,98.9%,0.3%,0.6%
"Des Moines, WA",3/31/2015,2015,4,$253K,-10.0%,-0.8%,38,-11.6%,5.6%,68,65.9%,17.2%,92,10.8%,0.0%,27,-52,-3,97.0%,-1.9%,-1.3%
"Des Moines, WA",4/30/2015,2015,5,$279K,10.5%,20.8%,48,26.3%,9.1%,41,-39.7%,-42.3%,80,-13.0%,-18.4%,9,-18,-6,100.1%,3.1%,0.7%
"Des Moines, WA",5/31/2015,2015,6,$283K,1.3%,9.9%,51,6.3%,-3.8%,49,19.5%,-3.9%,81,1.3%,-19.8%,15,6,-10,100.6%,0.5%,2.6%
"Des Moines, WA",6/30/2015,2015,7,$280K,-1.1%,4.7%,53,3.9%,17.8%,67,36.7%,48.9%,97,19.8%,-5.8%,14,-1,-13,98.9%,-1.7%,-1.3%
"Des Moines, WA",7/31/2015,2015,8,$300K,7.3%,19.1%,41,-22.6%,-16.3%,46,-31.3%,-11.5%,83,-14.4%,-28.4%,12,-2,-30,100.3%,1.4%,0.9%
"Des Moines, WA",8/31/2015,2015,9,$297K,-1.2%,11.1%,45,9.8%,40.6%,37,-19.6%,-32.7%,72,-13.3%,-45.0%,16,4,2,99.5%,-0.8%,0.7%
"Des Moines, WA",9/30/2015,2015,10,$297K,0.2%,20.0%,47,4.4%,46.9%,37,0.0%,-15.9%,59,-18.1%,-56.0%,18,2,-10,99.5%,0.0%,-0.4%
"Des Moines, WA",10/31/2015,2015,11,$268K,-9.8%,10.7%,29,-38.3%,-19.4%,35,-5.4%,34.6%,62,5.1%,-45.1%,16,-2,-10,98.8%,-0.7%,2.1%
"Des Moines, WA",11/30/2015,2015,12,$275K,2.5%,6.5%,40,37.9%,14.3%,23,-34.3%,-8.0%,50,-19.4%,-53.3%,12,-4,-27,99.0%,0.2%,0.2%
"Des Moines, WA",12/31/2015,2015,1,$279K,1.5%,7.2%,28,-30.0%,12.0%,36,56.5%,28.6%,58,16.0%,-43.1%,27,15,-24,99.4%,0.4%,0.3%
"Des Moines, WA",1/31/2016,2016,2,$293K,4.9%,42.7%,30,7.1%,42.9%,32,-11.1%,0.0%,51,-12.1%,-36.3%,28,1,-85,99.9%,0.5%,1.3%
"Des Moines, WA",2/29/2016,2016,3,$300K,2.6%,7.0%,45,50.0%,4.7%,45,40.6%,9.8%,54,5.9%,-34.9%,14,-14,-65,100.2%,0.4%,1.4%
"Des Moines, WA",3/31/2016,2016,4,$350K,16.8%,38.7%,32,-28.9%,-15.8%,63,40.0%,-7.4%,73,35.2%,-20.7%,7,-7,-20,101.0%,0.8%,4.0%
"Des Moines, WA",4/30/2016,2016,5,$324K,-7.5%,16.1%,46,43.8%,-4.2%,58,-7.9%,41.5%,70,-4.1%,-12.5%,9,2,0,101.2%,0.2%,1.1%
"Des Moines, WA",5/31/2016,2016,6,$292K,-9.7%,3.5%,51,10.9%,0.0%,67,15.5%,36.7%,88,25.7%,8.6%,8,-1,-7,102.2%,1.0%,1.6%
"Des Moines, WA",6/30/2016,2016,7,$328K,12.0%,17.2%,48,-5.9%,-9.4%,67,0.0%,0.0%,97,10.2%,0.0%,10,2,-4,101.5%,-0.7%,2.6%
"Des Moines, WA",7/31/2016,2016,8,$316K,-3.5%,5.4%,61,27.1%,48.8%,52,-22.4%,13.0%,82,-15.5%,-1.2%,9,-1,-3,100.5%,-1.1%,0.2%
"Des Moines, WA",8/31/2016,2016,9,$320K,1.3%,7.9%,47,-23.0%,4.4%,60,15.4%,62.2%,93,13.4%,29.2%,26,17,10,99.5%,-0.9%,0.0%
"Des Moines, WA",9/30/2016,2016,10,$361K,12.7%,21.4%,41,-12.8%,-12.8%,43,-28.3%,16.2%,91,-2.2%,54.2%,13,-13,-5,100.6%,1.1%,1.1%
"Des Moines, WA",10/31/2016,2016,11,$326K,-9.4%,21.8%,36,-12.2%,24.1%,28,-34.9%,-20.0%,81,-11.0%,30.6%,34,21,18,99.0%,-1.6%,0.2%
"Des Moines, WA",11/30/2016,2016,12,$290K,-11.2%,5.6%,37,2.8%,-7.5%,28,0.0%,21.7%,73,-9.9%,46.0%,23,-11,11,99.5%,0.5%,0.5%
"Des Moines, WA",12/31/2016,2016,1,$256K,-11.7%,-8.2%,30,-18.9%,7.1%,23,-17.9%,-36.1%,51,-30.1%,-12.1%,19,-4,-8,100.9%,1.4%,1.5%
"Des Moines, WA",1/31/2017,2017,2,$328K,28.0%,12.1%,40,33.3%,33.3%,36,56.5%,12.5%,48,-5.9%,-5.9%,43,24,15,99.1%,-1.8%,-0.8%
"Des Moines, WA",2/28/2017,2017,3,$350K,6.8%,16.7%,36,-10.0%,-20.0%,60,66.7%,33.3%,47,-2.1%,-13.0%,18,-25,4,101.7%,2.6%,1.4%
"Des Moines, WA",3/31/2017,2017,4,$375K,7.0%,6.9%,44,22.2%,37.5%,44,-26.7%,-30.2%,43,-8.5%,-41.1%,11,-7,4,101.5%,-0.2%,0.5%
"Des Moines, WA",4/30/2017,2017,5,$385K,2.8%,18.8%,54,22.7%,17.4%,72,63.6%,24.1%,61,41.9%,-12.9%,7,-4,-2,103.4%,1.9%,2.1%
"Des Moines, WA",5/31/2017,2017,6,$360K,-6.5%,23.1%,53,-1.9%,3.9%,63,-12.5%,-6.0%,63,3.3%,-28.4%,7,0,-1,102.5%,-0.9%,0.3%
"Des Moines, WA",6/30/2017,2017,7,$325K,-9.7%,-0.8%,48,-9.4%,0.0%,63,0.0%,-6.0%,71,12.7%,-26.8%,10,3,0,101.6%,-0.9%,0.0%
"Des Moines, WA",7/31/2017,2017,8,$383K,17.8%,21.2%,48,0.0%,-21.3%,75,19.0%,44.2%,80,12.7%,-2.4%,11,1,2,101.2%,-0.4%,0.7%
"Des Moines, WA",8/31/2017,2017,9,$350K,-8.6%,9.4%,56,16.7%,19.1%,61,-18.7%,1.7%,82,2.5%,-11.8%,15,4,-11,100.0%,-1.2%,0.5%
"Des Moines, WA",9/30/2017,2017,10,$385K,10.0%,6.8%,55,-1.8%,34.1%,33,-45.9%,-23.3%,57,-30.5%,-37.4%,12,-3,-1,99.7%,-0.3%,-0.9%
"Des Moines, WA",10/31/2017,2017,11,$376K,-2.5%,15.0%,42,-23.6%,16.7%,34,3.0%,21.4%,47,-17.5%,-42.0%,26,14,-8,100.8%,1.1%,1.8%
"Des Moines, WA",11/30/2017,2017,12,$432K,15.0%,49.0%,41,-2.4%,10.8%,14,-58.8%,-50.0%,32,-31.9%,-56.2%,17,-9,-6,100.1%,-0.7%,0.6%
"Des Moines, WA",12/31/2017,2017,1,$385K,-10.9%,50.4%,27,-34.1%,-10.0%,36,157.1%,56.5%,29,-9.4%,-43.1%,30,13,11,100.3%,0.2%,-0.6%
"Des Moines, WA",1/31/2018,2018,2,$405K,5.2%,23.6%,32,18.5%,-20.0%,37,2.8%,2.8%,36,24.1%,-25.0%,11,-19,-32,102.9%,2.6%,3.8%
"Des Moines, WA",2/28/2018,2018,3,$413K,2.0%,18.0%,37,15.6%,2.8%,56,51.4%,-6.7%,48,33.3%,2.1%,10,-1,-8,102.8%,-0.1%,1.1%
"Des Moines, WA",3/31/2018,2018,4,$400K,-3.1%,6.8%,37,0.0%,-15.9%,62,10.7%,40.9%,55,14.6%,27.9%,7,-3,-4,104.8%,2.1%,3.3%
"Des Moines, WA",4/30/2018,2018,5,$367K,-8.4%,-4.8%,50,35.1%,-7.4%,71,14.5%,-1.4%,77,40.0%,26.2%,10,3,3,102.8%,-2.1%,-0.6%
"Des Moines, WA",5/31/2018,2018,6,$415K,13.2%,15.3%,45,-10.0%,-15.1%,68,-4.2%,7.9%,101,31.2%,60.3%,9,-1,2,100.8%,-1.9%,-1.7%
"Des Moines, WA",6/30/2018,2018,7,$399K,-3.9%,22.8%,49,8.9%,2.1%,60,-11.8%,-4.8%,103,2.0%,45.1%,8,-1,-2,101.1%,0.2%,-0.5%
"Des Moines, WA",7/31/2018,2018,8,$441K,10.5%,15.1%,54,10.2%,12.5%,61,1.7%,-18.7%,111,7.8%,38.8%,22,14,11,100.3%,-0.8%,-0.9%
"Des Moines, WA",8/31/2018,2018,9,$393K,-11.0%,12.2%,42,-22.2%,-25.0%,41,-32.8%,-32.8%,109,-1.8%,32.9%,30,8,15,99.4%,-0.9%,-0.7%
"Des Moines, WA",9/30/2018,2018,10,$416K,5.9%,8.0%,28,-33.3%,-49.1%,38,-7.3%,15.2%,102,-6.4%,78.9%,21,-9,9,99.7%,0.4%,0.0%
"Des Moines, WA",10/31/2018,2018,11,$371K,-10.7%,-1.1%,38,35.7%,-9.5%,21,-44.7%,-38.2%,83,-18.6%,76.6%,65,44,39,98.5%,-1.2%,-2.3%
"Des Moines, WA",11/30/2018,2018,12,$417K,12.2%,-3.6%,42,10.5%,2.4%,19,-9.5%,35.7%,65,-21.7%,103.1%,49,-16,32,99.0%,0.6%,-1.1%
"Des Moines, WA",12/31/2018,2018,1,$400K,-4.0%,3.9%,31,-26.2%,14.8%,30,57.9%,-16.7%,67,3.1%,131.0%,37,-12,7,98.3%,-0.7%,-2.0%
"Des Moines, WA",1/31/2019,2019,2,$465K,16.3%,14.8%,26,-16.1%,-18.8%,26,-13.3%,-29.7%,63,-6.0%,75.0%,24,-13,13,99.7%,1.4%,-3.2%
"Des Moines, WA",2/28/2019,2019,3,$368K,-21.0%,-11.0%,31,19.2%,-16.2%,49,88.5%,-12.5%,64,1.6%,33.3%,25,1,15,99.3%,-0.4%,-3.4%
"Des Moines, WA",3/31/2019,2019,4,$401K,9.1%,0.2%,45,45.2%,21.6%,52,6.1%,-16.1%,57,-10.9%,3.6%,10,-15,3,100.2%,0.8%,-4.7%
"Des Moines, WA",4/30/2019,2019,5,$403K,0.5%,10.0%,55,22.2%,10.0%,67,28.8%,-5.6%,76,33.3%,-1.3%,10,0,0,100.6%,0.5%,-2.1%
"Des Moines, WA",5/31/2019,2019,6,$423K,5.0%,1.9%,39,-29.1%,-13.3%,54,-19.4%,-20.6%,71,-6.6%,-29.7%,6,-4,-3,100.5%,-0.1%,-0.3%
